fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2022-03-03,2022,Morcilla,3,Sucursal Norte,Pereira,5,Lázaro Estrada,8865
2022-04-15,2022,Tocineta,4,Sucursal Oeste,Barranquilla,4,Uriel Muñoz,3011
2025-11-19,2025,Jamón,11,Sucursal Este,Medellín,4,Eugenia Peralta,10744
2024-01-20,2024,Butifarra,1,Sucursal Norte,Medellín,3,Alejandro Montes,2845
2021-01-01,2021,Salchichón,1,Sucursal Oeste,Barranquilla,2,Pablo Campos,3147
2021-02-23,2021,Longaniza,2,Sucursal Oeste,Bogotá,4,Jesús Ramos-Vega,3867
2022-04-07,2022,Longaniza,4,Sucursal Este,Cali,8,Santiago Lorenzo-Ramos,6040
2025-05-25,2025,Longaniza,5,Sucursal Oeste,Barranquilla,7,Camila Rodríguez,8825
2022-03-06,2022,Tocineta,3,Sucursal Este,Medellín,7,Francisco Lozano-Navarro,9742
2020-05-23,2020,Chorizo,5,Sucursal Norte,Cartagena,7,Diego Flores,7018
2020-08-08,2020,Tocineta,8,Sucursal Oeste,Pereira,9,Emilia Ramírez-Herrera,9037
2023-07-10,2023,Tocineta,7,Sucursal Este,Medellín,1,Mireia Marín,1365
2025-06-08,2025,Butifarra,6,Sucursal Norte,Bucaramanga,10,Luciana Diez,10485
2021-04-20,2021,Chorizo,4,Almacén Central,Bogotá,6,Gema Escobar,10603
2020-01-16,2020,Longaniza,1,Sucursal Oeste,Barranquilla,2,Nuria Díaz,2488
2021-01-30,2021,Longaniza,1,Almacén Central,Barranquilla,4,Raúl Sierra,1247
2021-04-10,2021,Salchichón,4,Sucursal Este,Bucaramanga,2,Tania Jiménez,10869
2020-05-31,2020,Tocineta,5,Sucursal Sur,Cúcuta,7,Lorenzo Sánchez-Ramírez,7745
2025-09-09,2025,Morcilla,9,Sucursal Sur,Bogotá,8,Olivia Rubio,2852
2022-07-16,2022,Salchichón,7,Sucursal Oeste,Bucaramanga,4,Santiago Cardona-Cardona,2328
