fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2022-06-04,2022,Tocineta,6,Sucursal Norte,Pereira,2,Jacqueline Domínguez,7398
2020-08-15,2020,Butifarra,8,Almacén Central,Barranquilla,2,Cristina Pascual,2573
2023-06-14,2023,Chorizo,6,Sucursal Norte,Bucaramanga,6,Mario Ramos-Cruz,10844
2021-03-27,2021,Jamón,3,Sucursal Norte,Bogotá,6,Diego Gutiérrez-Ferrer,9217
2022-12-12,2022,Morcilla,12,Sucursal Norte,Barranquilla,7,Teresa Delgado,5454
2022-11-24,2022,Butifarra,11,Sucursal Este,Barranquilla,4,Germán Mendoza-Guillén,8968
2020-06-07,2020,Jamón,6,Almacén Central,Cartagena,2,Josefina Álvarez,1125
2024-09-02,2024,Salchichón,9,Almacén Central,Cúcuta,8,Josefina Pastor,7091
2022-09-05,2022,Salchichón,9,Sucursal Este,Pereira,7,Rodrigo Villanueva,4133
2025-03-05,2025,Morcilla,3,Sucursal Este,Cartagena,5,Jacqueline Campos,9786
2022-10-14,2022,Longaniza,10,Almacén Central,Cúcuta,2,Valentina Méndez,7749
2024-05-09,2024,Chorizo,5,Sucursal Este,Bucaramanga,6,Francisco Castro,2727
2022-02-06,2022,Butifarra,2,Sucursal Este,Pereira,9,Lucas López,7954
2020-04-13,2020,Salchichón,4,Sucursal Este,Bogotá,3,Gloria Pérez,10421
2024-03-31,2024,Salchichón,3,Sucursal Este,Barranquilla,6,Julio Rivera,7864
2024-09-06,2024,Tocineta,9,Sucursal Oeste,Cúcuta,5,Raúl Bravo,2683
2024-03-30,2024,Tocineta,3,Almacén Central,Cúcuta,5,Lucas Cortés-Campos,5227
2025-02-06,2025,Longaniza,2,Almacén Central,Cali,2,Úrsula Reyes-Estrada,4793
2021-11-01,2021,Longaniza,11,Sucursal Este,Bucaramanga,2,Esteban Rivera,8012
2023-04-26,2023,Butifarra,4,Sucursal Oeste,Bogotá,2,Santiago Romero,1814
2020-05-19,2020,Chorizo,5,Sucursal Oeste,Cali,2,Adán Gil,10750
2023-07-09,2023,Salchichón,7,Sucursal Oeste,Bucaramanga,7,Paloma Montes-Vidal,2496
2024-07-25,2024,Butifarra,7,Almacén Central,Cali,3,Emma Bravo,9667
2020-02-09,2020,Salchichón,2,Sucursal Sur,Bogotá,10,Yolanda Miranda,9562
2023-09-22,2023,Butifarra,9,Almacén Central,Barranquilla,7,David Álvarez,1056
2023-01-30,2023,Morcilla,1,Sucursal Norte,Bucaramanga,9,Santi Vázquez,9013
2023-12-13,2023,Chorizo,12,Sucursal Sur,Pereira,7,Daniel Campos,2009
2020-01-19,2020,Tocineta,1,Sucursal Este,Barranquilla,7,Cira Gil,6457
2021-03-27,2021,Jamón,3,Sucursal Este,Pereira,1,Brenda Sierra-Ferrer,7712
2024-09-17,2024,Tocineta,9,Sucursal Oeste,Bogotá,9,Marcela Solís-Miranda,9775
2020-04-13,2020,Butifarra,4,Sucursal Sur,Cartagena,1,Catalina Serrano,8356
2021-09-08,2021,Tocineta,9,Almacén Central,Barranquilla,6,Teodoro Peralta,7347
2022-08-25,2022,Chorizo,8,Sucursal Norte,Bogotá,2,Sergio Cardona,8434
2025-03-25,2025,Jamón,3,Almacén Central,Cali,6,Patricia Medina,10553
2025-04-22,2025,Jamón,4,Almacén Central,Bucaramanga,7,Benjamín Rivera-Gil,6075
2025-01-07,2025,Chorizo,1,Almacén Central,Bucaramanga,8,Nicolás Morales-Domínguez,5505
2025-08-21,2025,Jamón,8,Sucursal Este,Bucaramanga,10,María Pérez-Muñoz,4645
2024-05-12,2024,Jamón,5,Almacén Central,Bogotá,5,Antonia Núñez,3923
2021-01-21,2021,Jamón,1,Sucursal Sur,Bucaramanga,6,Rebeca Ibañez,7093
2022-08-02,2022,Tocineta,8,Almacén Central,Cartagena,6,Nadia Fernández-Gallego,6971
2022-04-25,2022,Tocineta,4,Sucursal Norte,Cali,5,Isaac Benítez,2927
2025-08-03,2025,Chorizo,8,Sucursal Oeste,Medellín,9,David Guerrero,10055
2024-07-13,2024,Tocineta,7,Sucursal Norte,Cúcuta,2,Santiago Romero,1814
2022-09-09,2022,Chorizo,9,Sucursal Sur,Cúcuta,2,Adán Alonso-Ruiz,1556
2025-07-24,2025,Jamón,7,Sucursal Oeste,Bogotá,1,Emilio Rivera-Jiménez,5578
2025-11-18,2025,Chorizo,11,Sucursal Sur,Cartagena,3,Jana Suárez,8093
2021-05-08,2021,Butifarra,5,Sucursal Norte,Medellín,8,Mauricio Álvarez,7711
2022-10-29,2022,Butifarra,10,Sucursal Este,Bogotá,10,Jacqueline Peralta,6595
2025-08-07,2025,Butifarra,8,Sucursal Este,Bucaramanga,10,Angélica Gallego,6892
2020-01-25,2020,Chorizo,1,Sucursal Este,Cartagena,1,Verónica Díaz,10268
2024-01-15,2024,Morcilla,1,Sucursal Oeste,Medellín,4,Willy Gil-Lozano,5725
2023-03-08,2023,Morcilla,3,Sucursal Este,Medellín,10,Marina Calvo,8465
