fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2021-12-23,2021,Tocineta,12,Sucursal Norte,Cali,10,Yolanda Flores,2944
2022-07-11,2022,Tocineta,7,Almacén Central,Bucaramanga,7,Sara Alonso,10441
2024-08-28,2024,Jamón,8,Sucursal Este,Cali,2,Jacqueline Sierra-Rojas,8156
2025-05-13,2025,Longaniza,5,Sucursal Norte,Cali,8,Regina Paredes,1703
2022-08-14,2022,Chorizo,8,Sucursal Norte,Pereira,7,Sofía Sanz,8754
2021-12-07,2021,Longaniza,12,Sucursal Este,Bucaramanga,3,Elisa Ibañez,3550
2025-02-08,2025,Salchichón,2,Sucursal Oeste,Medellín,1,Diego Núñez,6980
2023-08-15,2023,Butifarra,8,Sucursal Este,Cartagena,7,Renata Rojas,6441
2022-08-25,2022,Morcilla,8,Sucursal Norte,Bucaramanga,3,Antonia Vidal,1337
2021-09-21,2021,Salchichón,9,Almacén Central,Barranquilla,1,Benjamín Iglesias-Villanueva,6041
2024-05-17,2024,Morcilla,5,Sucursal Este,Bogotá,3,Alejandro Navarro,4555
2024-11-17,2024,Tocineta,11,Sucursal Sur,Barranquilla,1,Rodrigo Romero,9284
2021-04-10,2021,Butifarra,4,Sucursal Norte,Bogotá,1,Dalia Rojas,3245
2024-12-06,2024,Salchichón,12,Almacén Central,Cali,3,Santiago Carrasco-Álvarez,9320
2023-11-08,2023,Tocineta,11,Almacén Central,Bogotá,9,Emilia Vega,3576
2020-11-14,2020,Salchichón,11,Almacén Central,Barranquilla,8,Leonardo Santiago-Pérez,2863
2025-03-26,2025,Longaniza,3,Sucursal Norte,Bucaramanga,2,Mireia Ramírez-Acosta,3372
2024-09-27,2024,Morcilla,9,Sucursal Sur,Pereira,2,Verónica Pastor-Acosta,9933
2024-10-31,2024,Butifarra,10,Almacén Central,Bogotá,2,Liliana Estrada,7754
2023-03-06,2023,Morcilla,3,Sucursal Este,Pereira,9,Jorge Villanueva-Álvarez,5449
2024-05-26,2024,Salchichón,5,Sucursal Oeste,Pereira,10,Diego Lozano,1098
2022-04-05,2022,Salchichón,4,Sucursal Oeste,Medellín,8,Cristina Díaz-Diez,6285
2020-02-15,2020,Butifarra,2,Almacén Central,Cali,7,Ricardo Mendez,10011
2021-06-26,2021,Salchichón,6,Sucursal Norte,Barranquilla,5,Iván Delgado,3541
2023-05-18,2023,Longaniza,5,Sucursal Oeste,Pereira,6,Vicente Contreras,4388
2022-11-25,2022,Butifarra,11,Almacén Central,Cúcuta,7,Nicolás Martínez,6982
2023-10-21,2023,Salchichón,10,Sucursal Oeste,Medellín,7,Luis Cruz,5014
2024-06-27,2024,Salchichón,6,Sucursal Este,Cúcuta,2,Andrés Lorenzo,9006
2022-09-10,2022,Chorizo,9,Almacén Central,Cúcuta,5,Santi Lorenzo,6120
2024-04-24,2024,Longaniza,4,Sucursal Norte,Pereira,5,Salomé Santiago,9909
2022-07-22,2022,Morcilla,7,Sucursal Este,Barranquilla,3,Cecilia Sanz,10756
2023-07-20,2023,Butifarra,7,Sucursal Sur,Cartagena,5,Mateo Núñez,5371
2022-07-12,2022,Jamón,7,Sucursal Oeste,Cartagena,2,Elisa Villanueva-Gómez,2704
2024-11-24,2024,Longaniza,11,Sucursal Este,Cartagena,8,Emilio Rojas,7293
2022-04-03,2022,Butifarra,4,Sucursal Oeste,Medellín,4,Bruno Rodríguez-Núñez,2077
2025-07-11,2025,Jamón,7,Sucursal Oeste,Cartagena,8,Pablo Crespo-Domínguez,8151
2021-11-10,2021,Tocineta,11,Almacén Central,Medellín,3,Cristian Domínguez,3140
2020-05-23,2020,Jamón,5,Almacén Central,Cartagena,2,Valentina Mendez-Fuentes,6362
2023-03-20,2023,Tocineta,3,Sucursal Oeste,Cali,6,Jesús Prieto,2686
2023-07-03,2023,Tocineta,7,Sucursal Sur,Cali,4,Ramón Carrasco,2249
2022-11-28,2022,Longaniza,11,Sucursal Oeste,Cartagena,1,Mónica Aguilar,1668
2021-11-29,2021,Salchichón,11,Sucursal Este,Pereira,9,Leonardo Rivera-Calvo,4875
2021-10-30,2021,Longaniza,10,Almacén Central,Bogotá,6,Cecilia Gómez,2811
2023-01-09,2023,Chorizo,1,Almacén Central,Medellín,1,Isabella Ferrer-Sánchez,9623
2023-05-25,2023,Butifarra,5,Sucursal Este,Cartagena,10,Karla Cortés-Romero,1585
