fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2022-05-15,2022,Jamón,5,Sucursal Oeste,Cúcuta,1,Cristian Moreno,9979
2020-01-21,2020,Butifarra,1,Sucursal Sur,Pereira,3,Vanesa Solís,7494
2022-03-09,2022,Butifarra,3,Sucursal Norte,Cartagena,4,Pedro Rojas,7806
2023-02-25,2023,Jamón,2,Sucursal Sur,Cartagena,7,Ana Ortega,4991
2025-06-14,2025,Butifarra,6,Almacén Central,Bogotá,4,Emilio León-Rodríguez,7955
2025-10-18,2025,Chorizo,10,Sucursal Norte,Pereira,7,Olga Ortega,10009
2020-11-11,2020,Morcilla,11,Almacén Central,Cartagena,7,Martina Gallego,3351
2024-01-09,2024,Jamón,1,Almacén Central,Cúcuta,4,Isaac Vega,2335
2025-04-14,2025,Morcilla,4,Sucursal Oeste,Bogotá,7,Ernesto Fuentes,6021
2020-01-16,2020,Tocineta,1,Sucursal Norte,Cúcuta,7,Andrés Rojas-Vargas,6363
2020-03-23,2020,Jamón,3,Sucursal Norte,Cúcuta,1,Julio Ramos,8308
2022-06-25,2022,Butifarra,6,Almacén Central,Bucaramanga,9,Eduardo Prieto-González,8940
2021-06-25,2021,Tocineta,6,Sucursal Oeste,Cali,4,Eloy Castro,9487
2021-07-10,2021,Longaniza,7,Sucursal Sur,Cúcuta,7,Santiago Suárez,4029
2020-10-04,2020,Jamón,10,Sucursal Oeste,Pereira,10,Carlos Lara,10429
2020-01-13,2020,Salchichón,1,Sucursal Sur,Pereira,3,Nuria Gil,6866
2024-03-05,2024,Chorizo,3,Sucursal Este,Pereira,1,Enrique Ruiz,2045
2025-07-02,2025,Longaniza,7,Sucursal Este,Cartagena,4,Jonatan Contreras,4556
2022-03-05,2022,Salchichón,3,Sucursal Norte,Pereira,3,Jorge Diez,3381
2023-02-18,2023,Jamón,2,Sucursal Sur,Bucaramanga,4,Miguel Aguilar,10793
2023-09-24,2023,Chorizo,9,Almacén Central,Cali,7,Yolanda Villanueva,8783
2025-10-16,2025,Butifarra,10,Sucursal Este,Bogotá,5,Leonardo Mendez,8702
2024-09-20,2024,Tocineta,9,Almacén Central,Bucaramanga,5,Iván Guillén,2583
2025-03-01,2025,Longaniza,3,Sucursal Oeste,Bogotá,7,Victoria Marín,9532
2024-10-08,2024,Chorizo,10,Sucursal Este,Cúcuta,2,Julio Ramos,8308
2023-09-03,2023,Butifarra,9,Sucursal Este,Cartagena,5,Roberto Sierra,2694
2023-09-22,2023,Tocineta,9,Sucursal Oeste,Medellín,3,Rosa Molina-Martínez,3295
2025-11-30,2025,Tocineta,11,Sucursal Norte,Pereira,4,Laura Salazar,8939
2024-11-21,2024,Salchichón,11,Sucursal Norte,Medellín,2,Alejandra Villanueva,3692
2025-07-27,2025,Jamón,7,Sucursal Oeste,Bucaramanga,5,Carolina Villanueva,4455
2022-07-02,2022,Butifarra,7,Sucursal Este,Cali,8,Olga Contreras,1632
2023-03-12,2023,Butifarra,3,Sucursal Sur,Barranquilla,8,Alicia González,5538
2022-10-18,2022,Butifarra,10,Sucursal Norte,Medellín,2,Isaac Pascual,6757
2025-12-03,2025,Tocineta,12,Sucursal Este,Pereira,10,Olivia Acosta,7050
2024-08-18,2024,Jamón,8,Sucursal Este,Cúcuta,9,Benjamín Álvarez,7824
2020-02-05,2020,Butifarra,2,Sucursal Norte,Cali,9,Quique Vidal-Blanco,2805
2023-07-20,2023,Tocineta,7,Sucursal Este,Cartagena,10,Mireia Navarro,2664
2022-09-21,2022,Tocineta,9,Sucursal Oeste,Cali,3,Zacarías Esteban,3219
2024-01-28,2024,Butifarra,1,Sucursal Norte,Cúcuta,8,Mónica Soto,4273
2020-09-19,2020,Tocineta,9,Sucursal Norte,Bogotá,5,Jonatan Ortega-Ramírez,10022
2020-05-05,2020,Salchichón,5,Almacén Central,Medellín,10,Adrián Cardona,9181
2024-08-06,2024,Tocineta,8,Sucursal Norte,Bogotá,10,Gema Ortiz,5156
2025-12-26,2025,Morcilla,12,Sucursal Este,Barranquilla,5,Emilia Benítez-Pastor,8455
2023-07-09,2023,Chorizo,7,Sucursal Oeste,Pereira,4,Vanesa Zamora,3371
2022-05-26,2022,Longaniza,5,Sucursal Norte,Medellín,3,Valeria Miranda-Guerrero,2898
2025-12-29,2025,Jamón,12,Sucursal Norte,Pereira,10,Antonio Cardona,9440
2025-10-16,2025,Chorizo,10,Almacén Central,Cúcuta,10,Liliana Mendez,1146
2024-06-26,2024,Salchichón,6,Sucursal Oeste,Bucaramanga,2,Marcela Guerrero,6928
2021-12-19,2021,Chorizo,12,Sucursal Sur,Cúcuta,3,Guillermo Pardo,6289
2021-09-21,2021,Chorizo,9,Sucursal Oeste,Cartagena,6,Benjamín Esteban,10606
2024-12-12,2024,Jamón,12,Sucursal Sur,Cúcuta,10,Sofía Sierra,9315
2023-03-30,2023,Butifarra,3,Sucursal Sur,Cartagena,1,Félix Núñez,2402
2023-12-06,2023,Chorizo,12,Sucursal Oeste,Bogotá,3,Luciana Méndez,3646
2022-09-17,2022,Butifarra,9,Sucursal Norte,Barranquilla,7,Laura Vega-Mendoza,4809
2021-05-02,2021,Chorizo,5,Sucursal Norte,Cali,9,Ximena Cruz,7005
2020-08-09,2020,Tocineta,8,Sucursal Oeste,Cali,6,Romina Vidal,8044
2022-05-18,2022,Tocineta,5,Sucursal Sur,Pereira,5,Beatriz Aguilar-Salazar,10596
2025-02-12,2025,Butifarra,2,Almacén Central,Bucaramanga,3,Benjamín Flores,2272
2020-10-18,2020,Jamón,10,Sucursal Norte,Cartagena,8,Patricia Serrano,3620
2023-07-29,2023,Salchichón,7,Sucursal Este,Bucaramanga,4,Alicia Castillo,1270
2022-10-08,2022,Chorizo,10,Sucursal Norte,Cali,8,Gonzalo Esteban,3327
2022-03-07,2022,Longaniza,3,Sucursal Oeste,Bogotá,3,Jonatan Vargas,8799
2024-08-03,2024,Longaniza,8,Sucursal Sur,Pereira,3,Zoe Acosta,6172
