fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2024-01-16,2024,Butifarra,1,Sucursal Este,Pereira,10,Jorge Pascual,4267
2025-01-16,2025,Butifarra,1,Sucursal Oeste,Pereira,6,Armando Peralta,2545
2025-03-26,2025,Salchichón,3,Sucursal Este,Bogotá,9,Rodrigo Zamora,7153
2020-01-13,2020,Longaniza,1,Sucursal Norte,Barranquilla,6,Bruno Rubio,6092
2024-03-27,2024,Tocineta,3,Sucursal Sur,Barranquilla,10,Pablo Acosta-Domínguez,7450
2023-05-28,2023,Longaniza,5,Sucursal Oeste,Bogotá,10,Rina Vega-Escobar,9084
2025-10-17,2025,Tocineta,10,Sucursal Este,Cali,2,Vicente Hernández,1075
2022-09-06,2022,Morcilla,9,Sucursal Sur,Bogotá,10,Victoria Carrasco,4872
2025-03-24,2025,Chorizo,3,Sucursal Este,Barranquilla,6,Ernesto Cano-León,7985
2023-08-13,2023,Jamón,8,Almacén Central,Cúcuta,1,Magdalena Campos,9021
2021-12-25,2021,Chorizo,12,Almacén Central,Cúcuta,2,Mireia Navarro,2664
2024-11-03,2024,Longaniza,11,Sucursal Este,Barranquilla,5,Marco Marín,10307
2024-01-06,2024,Longaniza,1,Sucursal Sur,Cúcuta,10,Israel Flores-Vargas,5961
2024-01-10,2024,Butifarra,1,Sucursal Oeste,Barranquilla,8,Montserrat Vidal-Castro,10150
2021-03-25,2021,Salchichón,3,Sucursal Sur,Cartagena,5,Jimena Ferrer,5009
2024-06-25,2024,Chorizo,6,Sucursal Este,Pereira,7,Diego Pascual,2268
2023-06-24,2023,Tocineta,6,Sucursal Oeste,Cali,3,Paco Cruz-Paredes,6934
2023-01-28,2023,Chorizo,1,Sucursal Este,Bogotá,3,Kevin Montes,4732
2022-12-17,2022,Tocineta,12,Sucursal Norte,Cali,10,Gabriel Rivera,4859
2023-11-15,2023,Tocineta,11,Sucursal Oeste,Medellín,2,Iván Hernández,10886
2021-06-09,2021,Jamón,6,Sucursal Este,Cúcuta,5,Adriana Vega-Martín,5796
2024-03-29,2024,Jamón,3,Sucursal Norte,Bucaramanga,8,Elena Gil,4126
2023-03-08,2023,Butifarra,3,Almacén Central,Medellín,10,Kevin Lorenzo-López,6572
2021-08-15,2021,Butifarra,8,Sucursal Norte,Barranquilla,4,Marco Núñez-Gil,4862
2025-10-21,2025,Longaniza,10,Sucursal Oeste,Cúcuta,8,Gloria García,9724
2022-08-25,2022,Longaniza,8,Sucursal Sur,Bogotá,9,Raúl Sierra,1247
2021-08-03,2021,Longaniza,8,Sucursal Norte,Bucaramanga,3,Isaac Morales,10806
2024-04-11,2024,Butifarra,4,Sucursal Sur,Cali,4,Esteban García,6099
2020-09-03,2020,Chorizo,9,Sucursal Sur,Pereira,3,Francisco Herrera-Álvarez,9620
2021-02-22,2021,Longaniza,2,Sucursal Oeste,Bogotá,10,Humberto Benítez-Contreras,2642
2022-06-28,2022,Longaniza,6,Sucursal Oeste,Barranquilla,3,Luis Vega,3819
2020-08-03,2020,Salchichón,8,Sucursal Oeste,Bogotá,6,Mario Medina,7659
2021-11-09,2021,Salchichón,11,Sucursal Oeste,Cartagena,1,Paloma Campos,9983
2021-04-26,2021,Longaniza,4,Sucursal Oeste,Barranquilla,3,Santiago Carrasco-Álvarez,9320
2024-06-16,2024,Morcilla,6,Sucursal Norte,Pereira,3,Gustavo Morales,10373
2025-10-21,2025,Jamón,10,Sucursal Oeste,Pereira,5,Luciana Fuentes-Cardona,3192
2021-01-17,2021,Butifarra,1,Sucursal Oeste,Medellín,2,Gerardo Vázquez,10124
2021-07-22,2021,Salchichón,7,Sucursal Sur,Medellín,8,Ricardo Martín,6499
2022-07-31,2022,Jamón,7,Almacén Central,Cartagena,6,Laura Mendez,4018
2020-03-07,2020,Butifarra,3,Sucursal Sur,Cartagena,10,Lorena Paredes,2318
2020-08-18,2020,Morcilla,8,Sucursal Oeste,Cartagena,10,Guillermo Miranda,8658
2023-12-22,2023,Salchichón,12,Sucursal Este,Pereira,5,Pedro Guerrero,1834
2022-12-30,2022,Tocineta,12,Almacén Central,Cartagena,9,Willy Herrera-López,5346
2024-08-03,2024,Butifarra,8,Sucursal Oeste,Bucaramanga,7,Tania Gallego,1608
2025-05-28,2025,Chorizo,5,Sucursal Sur,Cali,1,Camila Rivera,4045
2022-03-10,2022,Chorizo,3,Almacén Central,Bucaramanga,10,Laura Pardo-Prieto,10799
2021-02-07,2021,Tocineta,2,Sucursal Oeste,Barranquilla,4,Alma Cortés-Contreras,5013
2024-03-18,2024,Salchichón,3,Sucursal Norte,Bucaramanga,9,Guillermo Mendoza,7735
2025-08-08,2025,Tocineta,8,Sucursal Sur,Cartagena,6,Yolanda Rubio,6326
2020-01-20,2020,Tocineta,1,Sucursal Sur,Cali,9,Sandra Romero,6599
2021-05-27,2021,Chorizo,5,Sucursal Norte,Bogotá,4,Uriel Crespo-Romero,3417
2021-07-23,2021,Chorizo,7,Sucursal Este,Bogotá,9,Camila Cortés,1972
2023-02-10,2023,Tocineta,2,Sucursal Oeste,Cartagena,7,Laura Rivera,7727
2022-05-22,2022,Jamón,5,Sucursal Norte,Barranquilla,2,Olga Peralta,8309
2020-09-06,2020,Tocineta,9,Sucursal Norte,Bogotá,4,Rocío Guerrero,2779
2023-05-19,2023,Jamón,5,Sucursal Norte,Pereira,3,Carlos Gil,4031
2021-09-13,2021,Jamón,9,Almacén Central,Bucaramanga,3,Adriana Carrasco,4943
2022-02-19,2022,Tocineta,2,Almacén Central,Cartagena,10,Sebastián García,3761
2024-11-16,2024,Butifarra,11,Sucursal Oeste,Cali,4,Lázaro Pérez-Pérez,6004
2021-06-23,2021,Longaniza,6,Sucursal Norte,Bogotá,4,Blas Contreras,4967
2022-02-22,2022,Salchichón,2,Sucursal Sur,Bogotá,5,Claudia Jiménez,3349
2021-03-16,2021,Jamón,3,Almacén Central,Cúcuta,2,Consuelo Fuentes,6753
2025-12-19,2025,Tocineta,12,Sucursal Oeste,Cali,6,Alejandro Cruz,8897
2020-04-19,2020,Salchichón,4,Sucursal Norte,Medellín,10,Leo Martínez-Hernández,6048
2024-01-16,2024,Salchichón,1,Sucursal Oeste,Cúcuta,3,Nadia Gallego-Núñez,5790
2025-02-19,2025,Longaniza,2,Almacén Central,Cali,3,Paloma Rivera-Estrada,5079
2021-05-19,2021,Salchichón,5,Sucursal Este,Bogotá,5,Miguel Pascual,3000
2023-02-26,2023,Chorizo,2,Almacén Central,Medellín,10,Alfredo Molina,10428
2021-05-11,2021,Tocineta,5,Sucursal Sur,Cúcuta,9,Pablo Pascual,6646
2020-05-12,2020,Longaniza,5,Sucursal Sur,Cartagena,8,Germán Pascual,2729
2021-02-07,2021,Jamón,2,Sucursal Oeste,Pereira,2,Carmen Herrera,9911
2021-12-15,2021,Longaniza,12,Sucursal Sur,Cúcuta,5,Úrsula Pastor,1140
2021-07-08,2021,Tocineta,7,Almacén Central,Cúcuta,6,Valeria Sanz,8345
2022-09-20,2022,Tocineta,9,Sucursal Oeste,Cartagena,1,Leo Rubio,2492
2021-04-24,2021,Butifarra,4,Sucursal Norte,Cali,6,Diego Paredes,6413
