fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2023-10-14,2023,Longaniza,10,Sucursal Este,Medellín,5,Alfredo Molina,10428
2021-10-27,2021,Butifarra,10,Sucursal Norte,Barranquilla,4,Eugenia Ortiz-Mendoza,6725
2021-10-04,2021,Salchichón,10,Sucursal Oeste,Barranquilla,3,Magdalena Vázquez-Santos,3305
2021-12-25,2021,Tocineta,12,Sucursal Norte,Cali,5,Catalina Morales,6397
2024-08-15,2024,Chorizo,8,Sucursal Oeste,Cali,5,Zacarías Núñez,4192
2020-02-28,2020,Chorizo,2,Almacén Central,Pereira,9,Óscar Ferrer,7786
2024-04-08,2024,Chorizo,4,Almacén Central,Pereira,9,Paloma Ferrer-Aguilar,9404
2020-07-25,2020,Chorizo,7,Sucursal Norte,Cartagena,8,Diego Prieto,1225
2025-10-04,2025,Longaniza,10,Sucursal Sur,Medellín,1,Isabella Calvo,6238
2025-01-18,2025,Butifarra,1,Sucursal Sur,Cúcuta,4,Jonatan Mendez,5477
2020-09-06,2020,Salchichón,9,Sucursal Norte,Medellín,5,Paula Paredes,2679
2023-12-01,2023,Salchichón,12,Sucursal Oeste,Pereira,1,Vicente Méndez,7725
2020-09-14,2020,Salchichón,9,Almacén Central,Medellín,9,Armando Vargas,3820
2025-06-26,2025,Tocineta,6,Sucursal Oeste,Barranquilla,9,Daniela Ferrer,4402
2023-02-21,2023,Chorizo,2,Sucursal Este,Medellín,4,Jacqueline Campos,9786
2025-10-12,2025,Chorizo,10,Almacén Central,Barranquilla,7,Elisa Sánchez,3108
2023-11-08,2023,Morcilla,11,Sucursal Oeste,Bucaramanga,6,Samuel Rojas,4179
2020-09-02,2020,Tocineta,9,Sucursal Norte,Pereira,7,Mónica Aguilar,1668
2023-12-02,2023,Longaniza,12,Sucursal Este,Barranquilla,10,Isabel Prieto,1136
2025-07-19,2025,Morcilla,7,Sucursal Norte,Cúcuta,2,Daniel Ramos,7627
2020-11-04,2020,Longaniza,11,Sucursal Este,Medellín,3,Catalina Serrano-Vega,7304
2023-03-25,2023,Tocineta,3,Almacén Central,Pereira,7,Alejandra Carrasco,10295
2023-09-03,2023,Chorizo,9,Almacén Central,Barranquilla,4,Rocío Cruz,5200
2020-10-14,2020,Morcilla,10,Sucursal Este,Barranquilla,8,Ernesto Estrada-Muñoz,6352
