fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2021-06-07,2021,Morcilla,6,Sucursal Sur,Pereira,3,Olivia Gil-Mendez,7429
2020-04-14,2020,Morcilla,4,Sucursal Norte,Cúcuta,6,Nadia Ferrer,7072
2021-05-29,2021,Longaniza,5,Sucursal Este,Cúcuta,9,Tania Pascual,5409
2024-12-09,2024,Longaniza,12,Sucursal Norte,Barranquilla,1,Santiago Diez,1786
2022-07-11,2022,Longaniza,7,Sucursal Oeste,Cúcuta,7,Josefina Rubio-Delgado,3693
2020-07-13,2020,Morcilla,7,Almacén Central,Bucaramanga,10,María Vázquez,6089
2022-04-14,2022,Morcilla,4,Sucursal Este,Cali,3,Brenda Crespo,2659
2024-12-26,2024,Chorizo,12,Sucursal Oeste,Bogotá,1,Israel Álvarez,2037
2020-03-02,2020,Chorizo,3,Sucursal Este,Cartagena,2,Consuelo Fuentes,6753
2023-12-21,2023,Morcilla,12,Sucursal Norte,Cali,3,Uriel Lorenzo-Zamora,3179
2023-06-28,2023,Longaniza,6,Almacén Central,Barranquilla,5,Martina Jiménez,3484
2020-12-29,2020,Longaniza,12,Almacén Central,Cali,2,Adán Caballero,7189
2024-03-12,2024,Chorizo,3,Sucursal Sur,Medellín,4,Inés Vidal,1161
2022-09-23,2022,Morcilla,9,Sucursal Este,Bogotá,9,Germán Cortés,8959
2023-01-31,2023,Longaniza,1,Sucursal Este,Cartagena,6,Vicente Ruiz,3352
2025-10-10,2025,Chorizo,10,Sucursal Este,Bogotá,8,Luis Marín-Ramos,8329
2021-09-22,2021,Salchichón,9,Sucursal Norte,Cali,8,Félix Álvarez,10781
2022-12-23,2022,Longaniza,12,Sucursal Oeste,Pereira,3,Elisa Villanueva,3220
2023-04-07,2023,Longaniza,4,Sucursal Oeste,Medellín,6,Gabriel Lara,6098
2020-01-04,2020,Tocineta,1,Almacén Central,Bogotá,6,Gustavo Santiago,6118
2021-07-07,2021,Butifarra,7,Sucursal Norte,Cali,1,Eduardo Molina,6664
2025-10-17,2025,Salchichón,10,Sucursal Este,Cali,10,Lázaro Guillén,5420
2023-07-25,2023,Butifarra,7,Sucursal Oeste,Cartagena,8,Andrés Vázquez,8387
2024-10-11,2024,Morcilla,10,Sucursal Este,Cúcuta,8,Quique Muñoz,8724
2025-10-30,2025,Morcilla,10,Sucursal Oeste,Medellín,10,Úrsula Rojas,1658
2020-09-21,2020,Morcilla,9,Sucursal Este,Cúcuta,3,Carmen Ramírez-Ramos,4960
2020-09-24,2020,Salchichón,9,Sucursal Oeste,Bucaramanga,1,Roberto Álvarez,9266
2020-05-12,2020,Chorizo,5,Sucursal Sur,Barranquilla,4,Teodoro Alonso-Ortiz,4562
2021-11-03,2021,Salchichón,11,Sucursal Este,Medellín,2,Jonatan Hidalgo,10826
2022-06-18,2022,Butifarra,6,Sucursal Sur,Barranquilla,1,Esteban Pastor-Jiménez,5550
2024-08-22,2024,Salchichón,8,Sucursal Oeste,Cúcuta,9,Fabián Pardo,6149
2020-09-26,2020,Morcilla,9,Almacén Central,Cali,8,Félix Prieto-Reyes,4964
2021-04-29,2021,Longaniza,4,Sucursal Este,Cali,4,Martina Morales-Flores,4907
2021-01-06,2021,Jamón,1,Sucursal Sur,Barranquilla,7,Leonardo Caballero,7158
2024-01-07,2024,Morcilla,1,Sucursal Sur,Cúcuta,1,Mireia Calvo,10400
2024-06-08,2024,Jamón,6,Almacén Central,Barranquilla,10,Hugo Diez,2352
2021-10-11,2021,Longaniza,10,Almacén Central,Barranquilla,9,José Rubio-Rubio,9689
2025-08-27,2025,Tocineta,8,Sucursal Este,Cúcuta,10,Sandra Fernández,6360
2024-05-12,2024,Chorizo,5,Sucursal Este,Medellín,9,Fernando Cortes,10378
2020-12-25,2020,Jamón,12,Sucursal Oeste,Cartagena,2,Raúl Calvo-Guerrero,10506
2023-09-01,2023,Longaniza,9,Sucursal Oeste,Cali,9,Iván Estrada,6400
2024-03-03,2024,Salchichón,3,Sucursal Norte,Medellín,3,Josefina Gómez,6623
2024-05-02,2024,Tocineta,5,Sucursal Norte,Cartagena,3,Sara Alonso,10441
2023-07-04,2023,Salchichón,7,Sucursal Sur,Pereira,2,Luis Pascual,8696
2023-09-11,2023,Morcilla,9,Sucursal Sur,Cúcuta,3,Félix Molina-Rojas,4470
2021-09-13,2021,Butifarra,9,Sucursal Sur,Cartagena,8,Carolina Vidal-Miranda,7564
2024-09-29,2024,Butifarra,9,Sucursal Sur,Cali,7,Joaquín Caballero-Navarro,10238
2024-07-08,2024,Butifarra,7,Sucursal Sur,Barranquilla,10,Mario Salazar,8381
2020-03-25,2020,Tocineta,3,Sucursal Este,Bogotá,9,Diego Fuentes,6532
2021-11-28,2021,Salchichón,11,Almacén Central,Cartagena,4,Nico Castillo,9733
2023-08-21,2023,Chorizo,8,Almacén Central,Cúcuta,6,Marcela Estrada,3067
2024-05-10,2024,Jamón,5,Sucursal Sur,Bucaramanga,9,Kevin Vázquez,4617
2023-10-29,2023,Morcilla,10,Sucursal Oeste,Pereira,3,Lorena Fernández,5316
2025-06-18,2025,Chorizo,6,Sucursal Este,Medellín,6,Antonia Reyes-Alonso,10166
2023-07-10,2023,Longaniza,7,Sucursal Norte,Cúcuta,3,Vicente Contreras,4388
2020-12-22,2020,Butifarra,12,Sucursal Oeste,Cali,6,Francisco Montes,1615
2021-12-19,2021,Morcilla,12,Sucursal Sur,Barranquilla,5,David Estrada,5386
2020-10-24,2020,Longaniza,10,Sucursal Este,Cartagena,2,Lázaro Medina,10913
2021-12-22,2021,Chorizo,12,Sucursal Sur,Bucaramanga,8,Francisco Aguilar,7220
2025-04-19,2025,Morcilla,4,Sucursal Sur,Pereira,9,Elena Fernández,7379
2023-06-25,2023,Butifarra,6,Sucursal Norte,Cartagena,10,Rodrigo Villanueva,4133
2024-02-01,2024,Butifarra,2,Sucursal Sur,Medellín,6,Miguel Mendoza,4230
2023-01-12,2023,Tocineta,1,Sucursal Sur,Cartagena,9,Ramón Estrada,1384
2020-10-25,2020,Longaniza,10,Sucursal Sur,Cali,7,Marco Guerrero,4424
2023-02-18,2023,Chorizo,2,Sucursal Norte,Cali,7,Lourdes Muñoz-Campos,2457
2023-06-21,2023,Tocineta,6,Sucursal Este,Cartagena,1,Cira Pascual-Torres,2875
2022-08-12,2022,Salchichón,8,Sucursal Norte,Cali,2,Eugenia Estrada,6246
2021-01-12,2021,Tocineta,1,Sucursal Sur,Cali,6,Luciana León,1686
2020-08-23,2020,Butifarra,8,Sucursal Oeste,Bucaramanga,1,Nicolás Bravo-Crespo,4688
2024-01-05,2024,Butifarra,1,Sucursal Norte,Cúcuta,3,Consuelo Lozano,8814
2021-01-06,2021,Morcilla,1,Almacén Central,Bucaramanga,4,Mónica Méndez-Solís,5461
2023-08-03,2023,Salchichón,8,Almacén Central,Cali,9,Jesús Acosta,5679
2024-09-23,2024,Chorizo,9,Almacén Central,Bogotá,1,Gabriel Ruiz,7041
2021-07-08,2021,Salchichón,7,Almacén Central,Bucaramanga,9,Liliana Sierra-Estrada,2410
2021-09-25,2021,Jamón,9,Sucursal Este,Bogotá,6,Juan Acosta,7547
