fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2025-11-05,2025,Tocineta,11,Sucursal Oeste,Cartagena,4,Rosa Blanco,10828
2021-05-22,2021,Tocineta,5,Almacén Central,Pereira,6,Vanesa Benítez-Pascual,9106
2021-03-17,2021,Tocineta,3,Sucursal Sur,Barranquilla,8,Alejandra López,1401
2025-01-17,2025,Chorizo,1,Sucursal Este,Bucaramanga,3,Damián Moreno-Estrada,5259
2020-08-21,2020,Salchichón,8,Sucursal Oeste,Bucaramanga,8,Jonatan Ortega-Hernández,9800
2024-12-12,2024,Jamón,12,Sucursal Norte,Bucaramanga,9,Julio Morales,1210
2025-05-13,2025,Morcilla,5,Almacén Central,Bucaramanga,7,Sebastián López,3273
2024-10-18,2024,Morcilla,10,Sucursal Norte,Cartagena,1,Valeria Fuentes-Gutiérrez,3836
2025-09-08,2025,Jamón,9,Sucursal Norte,Medellín,5,Mónica Guillén-Vega,10005
2021-06-04,2021,Chorizo,6,Sucursal Sur,Pereira,4,Consuelo Cortés,6898
2023-11-12,2023,Jamón,11,Almacén Central,Barranquilla,7,Cristian Martínez,10344
2020-07-15,2020,Morcilla,7,Sucursal Sur,Cúcuta,4,Irene Rubio-Ortega,1650
2022-08-03,2022,Tocineta,8,Almacén Central,Bogotá,8,Inés Castro,5972
2023-04-01,2023,Butifarra,4,Sucursal Oeste,Cartagena,1,Elisa Pardo,4124
2023-06-08,2023,Longaniza,6,Sucursal Este,Bogotá,9,Arturo Lozano,7357
2022-07-29,2022,Morcilla,7,Sucursal Este,Cartagena,2,Nico Solís,5266
2024-07-25,2024,Butifarra,7,Sucursal Sur,Medellín,5,Florencia Soto,1790
2020-07-09,2020,Longaniza,7,Sucursal Norte,Barranquilla,5,Camila Pastor,8253
2025-02-12,2025,Longaniza,2,Sucursal Oeste,Barranquilla,3,Elisa Guerrero-Sanz,5016
2025-03-12,2025,Butifarra,3,Sucursal Este,Cúcuta,3,Agustina Carrasco-Navarro,4167
2023-02-25,2023,Butifarra,2,Almacén Central,Barranquilla,2,Ximena Cruz,7005
2023-11-09,2023,Chorizo,11,Sucursal Oeste,Barranquilla,2,Pablo Bravo-Serrano,6235
2022-03-19,2022,Butifarra,3,Sucursal Oeste,Cali,10,Liliana Santos,1673
2025-06-17,2025,Salchichón,6,Almacén Central,Bogotá,5,Óscar Mendez,3404
2022-10-26,2022,Butifarra,10,Sucursal Oeste,Cali,2,Rina Vargas-Caballero,7413
2025-05-08,2025,Butifarra,5,Sucursal Oeste,Cali,1,Armando Rodríguez,10079
2025-01-20,2025,Salchichón,1,Sucursal Este,Cali,6,Isabella Vázquez-Méndez,10396
2025-10-18,2025,Longaniza,10,Almacén Central,Barranquilla,4,Patricia Marín,6798
2022-12-09,2022,Jamón,12,Sucursal Oeste,Cali,2,Cecilia Guillén,10724
2024-01-14,2024,Longaniza,1,Almacén Central,Cúcuta,7,Eduardo García-Guerrero,10280
2020-08-14,2020,Butifarra,8,Almacén Central,Bucaramanga,9,Isabel Lara,2697
2022-02-18,2022,Butifarra,2,Sucursal Oeste,Bogotá,8,Sofía Sierra,9315
2023-07-14,2023,Morcilla,7,Almacén Central,Cali,4,Marcos Mendoza,8681
2022-10-06,2022,Tocineta,10,Sucursal Este,Cali,6,Sandra Reyes-Gil,1220
2020-06-29,2020,Butifarra,6,Sucursal Norte,Pereira,8,Adrián Gómez,3485
2025-08-22,2025,Salchichón,8,Sucursal Norte,Cali,3,Natalia Sánchez,10960
2020-05-31,2020,Longaniza,5,Sucursal Este,Pereira,7,Mireia Marín,10188
2024-08-09,2024,Chorizo,8,Sucursal Norte,Pereira,2,Jacqueline Villanueva,2912
2021-06-02,2021,Morcilla,6,Sucursal Sur,Bogotá,8,Jimena Cano,1186
2022-02-03,2022,Butifarra,2,Sucursal Sur,Cartagena,7,Jana Jiménez,3178
2020-11-10,2020,Longaniza,11,Sucursal Este,Bucaramanga,3,Félix Núñez,2402
2022-02-19,2022,Salchichón,2,Sucursal Este,Cúcuta,9,Martina Herrera,4696
2020-01-01,2020,Jamón,1,Sucursal Este,Cartagena,9,Consuelo Cortés,8081
